feature_index,coefficient,influence,possible_words
7197,-3.3154784358714986,Decreases hallucination likelihood,tragedy
4989,-3.161840067820535,Decreases hallucination likelihood,Unknown (hash collision)
9151,3.1076526684956423,Increases hallucination likelihood,minority|colonized|defend|draenor.|iron.
5874,-2.955398638125731,Decreases hallucination likelihood,"electrical|painting,|too.|critics|constantinople|utilize"
8876,2.5057796177777756,Increases hallucination likelihood,"states|authentic|photoelectric|ithf|ex,|thickest"
3111,2.4895191402538557,Increases hallucination likelihood,Unknown (hash collision)
329,-2.4588733592886576,Decreases hallucination likelihood,shrank|cursive.
2782,2.4444366162856617,Increases hallucination likelihood,covenant|wrangler.|respect
2713,2.3718944585923003,Increases hallucination likelihood,monastic|published
9312,2.3608544765311987,Increases hallucination likelihood,paternal|location|incident.|godzilla.
3607,-2.2052750591371724,Decreases hallucination likelihood,"sleeping|ventilation|meadows.""|looks"
9370,2.1213254885938713,Increases hallucination likelihood,#1|erythematosus.|seed.
1833,-2.0685602510326064,Decreases hallucination likelihood,try|animator.|advancement
9644,2.0615664162897427,Increases hallucination likelihood,integration|workers|mining|polemic
1961,-2.0167015810170557,Decreases hallucination likelihood,manga
8137,2.003942923195565,Increases hallucination likelihood,blurred|florist
9442,1.99816841633708,Increases hallucination likelihood,practice.|package.|twin-engine.|havoc.
9381,-1.998083811560978,Decreases hallucination likelihood,Unknown (hash collision)
8564,-1.9940127473023614,Decreases hallucination likelihood,dating|channels.|reef.|forgo|glen.
4271,-1.9670263599435076,Decreases hallucination likelihood,goblet|sadness.|nation-wide.
8647,1.9562143893656374,Increases hallucination likelihood,inhabited|llewyn
6194,1.9470647522963331,Increases hallucination likelihood,"bank,"
2851,1.937499353558374,Increases hallucination likelihood,geographic|asteroid|subcontinent.
4430,1.9304642246693349,Increases hallucination likelihood,"inception|exploration.|heart""."
4481,-1.920495181013015,Decreases hallucination likelihood,"canned|grace|afflicted|rush.|everything,"
6465,1.918239765459508,Increases hallucination likelihood,Unknown (hash collision)
8983,1.9059169551172845,Increases hallucination likelihood,relax.|carbon.
1168,1.9035418558614372,Increases hallucination likelihood,who.|illiterate.|tasks
9688,-1.889064386087898,Decreases hallucination likelihood,slain
2216,-1.8830722654959355,Decreases hallucination likelihood,Unknown (hash collision)
